impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-175914,A723310,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2901255,In Public Home,N/a,Dog,Under 1 year<p/>,Female,Pit Bull,Brown,"Jan 26, 2025",Date Found,HealthPoint  - Kent,,,,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2901255,Image Copyright HLP Inc. 2025,"Description: Pitt bull mix Found close to 167 highway in kent<p/>Age: Under 1 year<p/>Found Near: Kent , Kent WA  98042<p/>Found Date: 2025-01-26<p/>",
K25-175991,A723462,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2902251,In Public Home,,Cat,Under 1 year<p/>,Female,American Shorthair,Unknown,"Jan 29, 2025",Date Found,400 block of  Occidental Ave Building,,,,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2902251,Image Copyright HLP Inc. 2025,"Description: Calico tabby. Distinctive Orange stripe on nose. White paws and white tail tip.<p/>Age: Under 1 year<p/>Found Near: occidental Ave, Seattle WA  98148<p/>Found Date: 2025-01-29<p/>",
K25-176636,A724678,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724678,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mouse,Lionhead,NO AGE,Male,Lionhead / Mix,Brown,"Feb 26, 2025",Received on,4800 block of  152ND PL SE,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724678,Image Copyright HLP Inc. 2025,"Received on: 2025-02-26<p/> Found Near: 4800 block of  152ND PL SE<p/> Description: Brown Male Lionhead / Mix Lionhead<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-175950,A723362,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2901697,LOST,Red,Dog,Over 1 year<p/>,Male,American Pit Bull Terrier,Black,"Jan 29, 2025",Date Lost,SW  116th St & 12th Ave SW,Burien,,98146,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2901697,Image Copyright HLP Inc. 2025,"Description: Mostly black with white, black patch around right eye <p/>Age: Over 1 year<p/>Location Lost: SW 116th St @ 12th Ave SW , Seattle WA  98146<p/>Lost Date: 2025-01-29<p/>",
K25-176751,A724958,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724958,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Bird,NO AGE,Unknown,Rooster,Black / Gold,"Mar 04, 2025",Received on,800 block of,,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724958,Image Copyright HLP Inc. 2025,"Received on: 2025-03-04<p/> Found Near: 800 block of <p/> Description: Black / Gold Unknown Rooster Bird<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176697,A724792,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724792,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Eclipse,Cat,1 YEAR,Female,Domestic Shorthair,Black / White,"Mar 01, 2025",Received on,800 block of  WEST VALLEY HWY S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724792,Image Copyright HLP Inc. 2025,"Received on: 2025-03-01<p/> Found Near: 800 block of  WEST VALLEY HWY S<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176608,A724627,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911034,LOST,Fikir,Dog,Over 1 year<p/>,Male,Havanese,White,"Feb 24, 2025",Date Lost,SE  188TH PL AND SE 192ND DR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911034,Image Copyright HLP Inc. 2025,"Description: He is a small havapoo. He is white with light brown ears. He has a brown spot on his left side and one at the base of his tail. He is wearing a black collar with a blue tag that has his name (Fikir) on one side and a phone number on the other side. <p/>Age: Over 1 year<p/>Location Lost: SE 188th Pl and SE 192nd Dr, Renton WA  98058<p/>Lost Date: 2025-02-24<p/>",
K25-175860,A723188,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2900397,In Public Home,,Dog,Unknown<p/>,Male,Pit Bull,Black,"Jan 25, 2025",Date Found,"EVERGREEN  MIDDLE SCHOOL, KENT",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2900397,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Found Near: Evergreen middle school, Kent, Kent WA  98032<p/>Found Date: 2025-01-25<p/>",
K25-176528,A724485,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2910204,LOST,Katharina Bu,Dog,Over 1 year<p/>,Male,Standard Poodle,Unknown,"Feb 23, 2025",Date Lost,3600 block of  93RD AVE SE,Mercer Island,,98040,MERCER ISLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2910204,Image Copyright HLP Inc. 2025,"Description: Retriever poodle Mix, apricot, yellow, really friendly, shaggy hair, needs haircut<p/>Age: Over 1 year<p/>Location Lost: 3666 93rd Avenue SE, Mercer Island WA  98040<p/>Lost Date: 2025-02-23<p/>",
K25-176445,A724336,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2908924,LOST,Rocco And Jo,Dog,Under 1 year<p/>,Male,German Shepherd,Black,"Feb 19, 2025",Date Lost,8300 block of  WABASH AVE S,Seattle,,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2908924,Image Copyright HLP Inc. 2025,"Description: Two German Shepard and Labrador dog mix ,all black with white patch on chest, belly and paw, they are from the same litter and look almost identical <p/>Age: Under 1 year<p/>Location Lost: 8338 wabash ave s Seattle, wa , Seattle WA  98118<p/>Lost Date: 2025-02-19<p/>",
